Unnamed: 0,ecalP,muNraC,maeT,emiT,spaL,senoC,esruoCffO,hyr e t latnOeP,detesmujdiTA,erocSemiT,erocSspaL,ecnearroucdSnE
1,23,101,Minnesota State University - Mankato,1654.603,10,2.0,2.0,,1698.603,106.4,25,131.4
2,24,83,Univ of South Florida,1535.388,10,2.0,2.0,120.0,1699.388,106.1,25,131.1
3,25,77,Vanderbilt Univ,1700.772,10,4.0,,,1708.772,102.5,25,127.5
4,26,91,Mississippi State Univ,1674.943,10,7.0,1.0,,1708.943,102.4,25,127.4
5,27,67,Univ of Minnesota - Twin Cities,1504.06,10,9.0,5.0,120.0,1742.06,89.9,25,114.9
6,28,44,Univ of Texas - Dallas,1686.742,10,2.0,3.0,,1750.742,86.7,25,111.7
7,29,95,Univ of Toledo,1722.337,10,6.0,1.0,,1754.337,85.4,25,110.4
8,30,22,Sacramento State Univ,1659.227,10,11.0,4.0,,1761.227,82.9,25,107.9
9,31,119,California Baptist University,1741.989,10,,1.0,,1761.989,82.6,25,107.6
10,32,24,Brown Univ,1694.256,10,5.0,5.0,,1804.256,67.7,25,92.7
11,33,98,Univ of Nebraska - Lincoln,1663.055,10,6.0,2.0,120.0,1835.055,57.2,25,82.2
12,34,60,Univ of Illinois - Chicago,1792.782,10,2.0,2.0,,1836.782,56.6,25,81.6
13,35,126,Arizona State Univ - Tempe,1676.754,10,,3.0,120.0,1856.754,50.1,25,75.1
14,36,108,Lawrence Technological Univ,1770.844,10,8.0,5.0,,1886.844,40.4,25,65.4
15,37,32,Colorado School of Mines,1722.569,10,14.0,7.0,,1890.569,39.2,25,64.2
16,38,106,Embry-Riddle Aero Univ - Daytona Beach,1641.135,10,11.0,8.0,120.0,1943.135,23.1,25,48.1
17,39,21,Oklahoma State Univ,1919.354,10,10.0,2.0,,1979.354,12.5,25,37.5
18,40,113,US Air Force Academy,1850.95,10,6.0,6.0,,1982.95,11.5,25,36.5
19,41,47,Univ of Kentucky,1960.521,10,7.0,3.0,,2034.521,-,25,25.0
20,42,58,Syracuse Univ,2024.21,10,1.0,2.0,,2066.21,-,25,25.0
21,43,131,Univ of Ottawa,1727.287,10,18.0,17.0,,2103.287,-,25,25.0
22,44,114,Lehigh Univ,1902.416,10,9.0,10.0,,2120.416,-,25,25.0
